ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
3312,No,No,No,6,112,3,Finance Management,Landing Page Submission
3313,No,No,No,,1057,,Finance Management,Lead Add Form
3314,No,No,No,6,1173,3,Media and Advertising,Landing Page Submission
3315,No,Yes,No,2,216,1,,API
3316,Yes,No,No,24,1500,2,Finance Management,Landing Page Submission
3317,No,No,No,0,0,0,,API
3318,No,No,No,3,747,3,Human Resource Management,Landing Page Submission
3319,No,No,No,0,0,0,,API
3320,Yes,No,No,8,1289,1.6,Finance Management,Landing Page Submission
3321,No,No,No,0,0,0,,API
3322,Yes,No,No,0,0,0,Travel and Tourism,Lead Add Form
3323,No,No,No,6,195,6,Finance Management,Landing Page Submission
3324,Yes,Yes,No,0,0,0,,API
3325,No,No,No,0,0,0,,API
3326,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3327,Yes,No,No,2,1453,2,Marketing Management,Landing Page Submission
3328,No,No,No,6,211,6,,API
3329,Yes,No,No,0,0,0,,API
3330,Yes,No,No,6,1169,6,"Banking, Investment And Insurance",Landing Page Submission
3331,Yes,No,No,11,964,2.75,Media and Advertising,Landing Page Submission
3332,No,No,No,2,71,2,,API
3333,Yes,No,No,6,1168,2,Finance Management,Landing Page Submission
3334,No,No,No,1,243,1,,API
3335,No,Yes,No,2,27,1,,API
3336,No,No,No,6,397,6,,API
3337,No,No,No,2,234,2,,API
3338,No,No,No,0,0,0,,API
3339,No,No,No,2,973,2,,API
3340,Yes,No,No,0,0,0,,Lead Add Form
3341,No,No,No,3,120,3,"Banking, Investment And Insurance",Landing Page Submission
3342,No,Yes,No,0,0,0,,API
3343,No,Yes,No,5,1021,5,Human Resource Management,Landing Page Submission
3344,Yes,No,No,0,0,0,,API
3345,No,No,No,2,202,2,,API
3346,No,No,No,0,0,0,,API
3347,No,No,No,0,0,0,,API
3348,No,No,No,4,365,2,,API
3349,No,No,No,0,0,0,,API
3350,No,No,No,2,242,2,Finance Management,Landing Page Submission
3351,Yes,No,No,2,1257,2,,API
3352,No,No,No,4,1463,2,Human Resource Management,Landing Page Submission
3353,No,No,No,4,22,4,Hospitality Management,Landing Page Submission
3354,Yes,No,No,2,1486,1,,API
3355,No,No,No,0,0,0,,API
3356,Yes,No,No,0,0,0,,Lead Add Form
3357,No,No,No,2,75,2,IT Projects Management,Landing Page Submission
3358,No,No,No,3,365,3,Human Resource Management,Landing Page Submission
3359,No,No,No,5,245,2.5,Supply Chain Management,Landing Page Submission
3360,Yes,No,No,3,148,3,"Banking, Investment And Insurance",Landing Page Submission
3361,Yes,No,No,3,1178,3,Supply Chain Management,Landing Page Submission
3362,No,No,No,4,5,4,Media and Advertising,Landing Page Submission
3363,No,No,No,3,1118,3,Finance Management,Landing Page Submission
3364,No,No,No,2,271,2,Business Administration,Landing Page Submission
3365,No,No,No,0,0,0,,API
3366,Yes,No,No,10,130,5,Operations Management,Landing Page Submission
3367,Yes,No,No,4,1529,4,Travel and Tourism,Landing Page Submission
3368,Yes,No,No,2,353,2,,API
3369,No,No,No,2,1602,2,,API
3370,No,No,No,4,131,4,Finance Management,Landing Page Submission
3371,Yes,No,No,4,1495,4,Marketing Management,Landing Page Submission
3372,No,No,No,2,1360,2,Human Resource Management,Landing Page Submission
3373,No,No,No,0,0,0,,API
3374,Yes,No,No,0,0,0,,API
3375,No,No,No,6,63,3,IT Projects Management,Landing Page Submission
3376,No,No,No,2,498,2,Business Administration,Landing Page Submission
3377,Yes,No,No,18,976,3,"Banking, Investment And Insurance",Landing Page Submission
3378,No,No,No,2,332,2,International Business,Landing Page Submission
3379,No,No,No,2,298,2,Finance Management,Landing Page Submission
3380,No,No,No,2,81,2,Human Resource Management,Landing Page Submission
3381,No,No,No,6,2,3,Human Resource Management,Landing Page Submission
3382,Yes,No,No,4,818,4,Healthcare Management,Landing Page Submission
3383,No,No,No,0,0,0,,API
3384,No,No,No,3,599,3,Retail Management,Landing Page Submission
3385,Yes,No,No,8,1688,1.6,Operations Management,Landing Page Submission
3386,No,No,No,2,289,2,IT Projects Management,Landing Page Submission
3387,No,No,No,9,318,3,,API
3388,No,No,No,3,247,3,Supply Chain Management,API
3389,Yes,No,No,2,1770,2,Supply Chain Management,Landing Page Submission
3390,No,No,No,18,241,2,Human Resource Management,API
3391,Yes,No,No,4,921,4,Human Resource Management,Landing Page Submission
3392,No,No,No,9,426,4.5,International Business,Landing Page Submission
3393,No,No,No,3,23,3,Business Administration,Landing Page Submission
3394,No,No,No,5,164,5,Finance Management,Landing Page Submission
3395,No,No,No,2,370,1,Finance Management,API
3396,No,Yes,No,0,0,0,,API
3397,Yes,No,No,2,831,2,Business Administration,Landing Page Submission
3398,No,No,No,3,145,3,Finance Management,Landing Page Submission
3399,No,No,No,3,31,3,Human Resource Management,Landing Page Submission
3400,Yes,No,No,14,969,2.8,Human Resource Management,Landing Page Submission
3401,No,No,No,2,108,2,Marketing Management,Landing Page Submission
3402,Yes,No,No,6,994,1.5,Human Resource Management,Landing Page Submission
3403,No,No,No,0,0,0,,API
3404,Yes,No,No,11,1337,2.2,,API
3405,No,No,No,0,0,0,,API
3406,Yes,No,No,3,1124,3,E-COMMERCE,Landing Page Submission
3407,Yes,No,No,0,0,0,,Lead Add Form
3408,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
3409,No,No,No,0,0,0,,API
3410,No,No,No,5,323,1.67,Business Administration,Landing Page Submission
3411,No,No,No,4,1371,2,Finance Management,API
3412,Yes,No,No,0,0,0,,Lead Add Form
3413,Yes,No,No,3,933,3,Human Resource Management,Landing Page Submission
3414,No,No,No,2,75,2,,API
3415,No,No,No,10,1812,3.33,Finance Management,Landing Page Submission
3416,No,No,No,9,97,9,Human Resource Management,Landing Page Submission
3417,Yes,No,No,3,929,1.5,,API
3418,Yes,No,No,4,448,4,"Banking, Investment And Insurance",Landing Page Submission
3419,No,No,No,6,322,3,Marketing Management,Landing Page Submission
3420,No,No,No,2,6,2,Media and Advertising,Landing Page Submission
3421,Yes,No,No,0,0,0,,API
3422,Yes,No,No,0,0,0,,Lead Add Form
3423,No,No,No,4,181,4,Media and Advertising,Landing Page Submission
3424,No,No,No,0,0,0,,API
3425,Yes,No,No,,1540,,,Lead Add Form
3426,Yes,No,No,0,0,0,,Lead Add Form
3427,Yes,No,No,7,1348,1.75,Media and Advertising,Landing Page Submission
3428,No,No,No,3,150,3,Finance Management,Landing Page Submission
3429,Yes,No,No,,1447,,Travel and Tourism,Lead Add Form
3430,No,No,No,0,0,0,,API
3431,No,No,No,5,576,5,IT Projects Management,Landing Page Submission
3432,No,No,No,3,325,3,Human Resource Management,Landing Page Submission
3433,Yes,No,No,0,0,0,,API
3434,No,No,No,0,0,0,,API
3435,No,No,No,3,74,3,Finance Management,Landing Page Submission
3436,Yes,No,No,3,1263,3,,API
3437,Yes,No,No,2,717,1,,API
3438,Yes,No,No,6,295,6,Travel and Tourism,Landing Page Submission
3439,No,No,No,2,270,2,Marketing Management,Landing Page Submission
3440,Yes,No,No,4,1373,4,Finance Management,Landing Page Submission
3441,No,No,No,4,126,4,Marketing Management,Landing Page Submission
3442,Yes,No,No,0,0,0,,API
3443,No,No,No,0,0,0,,API
3444,No,No,No,3,69,1.5,Supply Chain Management,Landing Page Submission
3445,Yes,No,No,0,0,0,,Lead Add Form
3446,Yes,No,No,2,251,2,Finance Management,Landing Page Submission
3447,Yes,No,No,2,950,2,"Banking, Investment And Insurance",Landing Page Submission
3448,Yes,No,No,0,0,0,,Lead Add Form
3449,Yes,No,No,5,171,2.5,Human Resource Management,Landing Page Submission
3450,Yes,No,No,7,1341,7,,API
3451,No,Yes,No,4,220,4,E-COMMERCE,Landing Page Submission
3452,No,No,No,6,386,6,Finance Management,Landing Page Submission
3453,Yes,No,No,0,0,0,,API
3454,No,No,No,3,407,3,Operations Management,Landing Page Submission
3455,No,No,No,7,145,7,Finance Management,Landing Page Submission
3456,Yes,No,No,0,0,0,,Lead Add Form
3457,Yes,No,No,2,1567,2,,API
3458,No,No,No,4,422,2,,API
3459,Yes,No,No,9,805,2.25,Business Administration,Landing Page Submission
3460,Yes,No,No,6,23,6,Marketing Management,Landing Page Submission
3461,No,No,No,2,660,2,Human Resource Management,Landing Page Submission
3462,Yes,No,No,6,1172,6,Human Resource Management,Landing Page Submission
3463,Yes,No,No,4,420,4,,API
3464,Yes,No,No,0,0,0,,Lead Add Form
3465,No,No,No,2,194,1,,API
3466,Yes,No,No,0,0,0,,Lead Add Form
3467,No,No,No,5,1732,5,Marketing Management,Landing Page Submission
3468,No,No,No,0,0,0,,API
3469,No,No,No,3,257,3,Finance Management,Landing Page Submission
3470,Yes,No,No,3,473,1.5,Rural and Agribusiness,Landing Page Submission
3471,No,No,No,2,305,2,Hospitality Management,Landing Page Submission
3472,Yes,No,No,4,1132,4,,API
3473,No,No,No,6,155,6,Human Resource Management,Landing Page Submission
3474,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
3475,No,No,No,0,0,0,,API
3476,Yes,No,No,5,1366,2.5,Finance Management,Landing Page Submission
3477,No,No,No,6,217,3,Marketing Management,Landing Page Submission
3478,Yes,No,No,0,0,0,,Lead Add Form
3479,Yes,No,No,,1687,,Human Resource Management,Lead Add Form
3480,No,No,No,2,423,2,,API
3481,No,No,No,0,0,0,,API
3482,No,Yes,No,3,438,3,,API
3483,Yes,No,No,3,1317,1,Marketing Management,API
3484,No,No,No,0,0,0,,API
3485,Yes,No,No,2,1498,2,Rural and Agribusiness,Landing Page Submission
3486,No,No,No,12,382,3,International Business,Landing Page Submission
3487,Yes,No,No,0,0,0,,Lead Add Form
3488,No,No,No,4,1663,4,Finance Management,Landing Page Submission
3489,Yes,No,No,3,1655,3,Marketing Management,Landing Page Submission
3490,No,No,No,3,541,3,Business Administration,Landing Page Submission
3491,No,No,No,5,358,2.5,Finance Management,Landing Page Submission
3492,No,No,No,8,491,2.67,Hospitality Management,Landing Page Submission
3493,No,No,No,3,1456,1.5,,API
3494,No,No,No,0,0,0,,API
3495,Yes,No,No,10,1128,5,"Banking, Investment And Insurance",Landing Page Submission
3496,Yes,No,No,3,679,3,Business Administration,Landing Page Submission
3497,Yes,No,No,3,1535,1.5,Finance Management,Landing Page Submission
3498,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3499,Yes,No,No,0,0,0,,Lead Add Form
3500,No,No,No,7,23,3.5,Human Resource Management,Landing Page Submission
3501,Yes,No,No,4,1307,1.33,,API
3502,No,No,No,16,1576,2.67,,Landing Page Submission
3503,No,No,No,9,99,2.25,Human Resource Management,API
3504,No,No,No,0,0,0,,API
3505,No,No,No,3,424,3,Business Administration,Landing Page Submission
3506,No,No,No,4,300,2,Media and Advertising,Landing Page Submission
3507,No,No,No,0,0,0,,API
3508,No,No,No,4,153,4,Marketing Management,Landing Page Submission
3509,No,Yes,No,2,116,2,,Landing Page Submission
3510,No,No,No,5,1417,5,Finance Management,Landing Page Submission
3511,No,No,No,7,383,2.33,Supply Chain Management,Landing Page Submission
3512,Yes,No,No,8,1015,2.67,Media and Advertising,Landing Page Submission
3513,No,No,No,0,0,0,,API
3514,No,No,No,17,75,3.4,Marketing Management,API
3515,Yes,No,No,0,0,0,,API
3516,Yes,No,No,5,1142,2.5,Business Administration,Landing Page Submission
3517,No,No,No,5,106,2.5,,API
3518,No,Yes,No,3,337,3,Retail Management,Landing Page Submission
3519,No,No,No,5,2090,5,Marketing Management,Landing Page Submission
3520,Yes,No,No,5,1063,5,Finance Management,Landing Page Submission
3521,Yes,No,No,5,1106,5,E-Business,Landing Page Submission
3522,Yes,No,No,5,1136,5,Finance Management,Landing Page Submission
3523,Yes,No,No,13,1683,4.33,"Banking, Investment And Insurance",Landing Page Submission
3524,No,No,No,2,130,1,Business Administration,API
3525,Yes,No,No,0,0,0,,API
3526,No,Yes,No,1,1095,1,Travel and Tourism,Landing Page Submission
3527,Yes,No,No,0,0,0,,API
3528,No,No,No,3,503,1.5,,API
3529,No,No,No,2,408,2,Operations Management,Landing Page Submission
3530,No,No,No,2,374,2,Operations Management,Landing Page Submission
3531,No,Yes,No,1,349,1,Operations Management,Landing Page Submission
3532,No,Yes,No,2,24,2,"Banking, Investment And Insurance",Landing Page Submission
3533,Yes,No,No,4,1484,4,Supply Chain Management,Landing Page Submission
3534,Yes,No,No,4,222,2,Healthcare Management,Landing Page Submission
3535,No,No,No,3,129,3,Operations Management,Landing Page Submission
3536,Yes,No,No,4,1021,2,"Banking, Investment And Insurance",API
3537,No,No,No,3,396,3,Finance Management,Landing Page Submission
3538,No,No,No,4,319,1.33,,API
3539,No,No,No,3,158,3,Human Resource Management,Landing Page Submission
3540,No,No,No,5,122,5,Marketing Management,Landing Page Submission
3541,No,No,No,0,0,0,,API
3542,No,No,No,0,0,0,,API
3543,Yes,No,No,0,0,0,,Lead Add Form
3544,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3545,No,Yes,No,3,373,3,,API
3546,No,Yes,No,5,296,2.5,Operations Management,Landing Page Submission
3547,Yes,No,No,0,0,0,,API
3548,No,No,No,0,0,0,,API
3549,No,No,No,1,86,1,Supply Chain Management,Landing Page Submission
3550,Yes,No,No,4,1205,4,IT Projects Management,Landing Page Submission
3551,Yes,No,No,5,633,5,,API
3552,No,No,No,3,109,1.5,,API
3553,No,No,No,0,0,0,,API
3554,No,No,No,5,110,5,Finance Management,Landing Page Submission
3555,No,No,No,0,0,0,,API
3556,Yes,No,No,,636,,Human Resource Management,Lead Add Form
3557,Yes,No,No,2,949,2,,API
3558,No,No,No,2,74,2,"Banking, Investment And Insurance",Landing Page Submission
3559,No,No,No,0,0,0,,API
3560,No,No,No,0,0,0,,API
3561,No,No,No,2,267,1,,API
3562,No,No,No,0,0,0,,API
3563,Yes,No,No,3,220,3,Media and Advertising,Landing Page Submission
3564,Yes,No,No,2,702,2,IT Projects Management,Landing Page Submission
3565,No,No,No,6,88,6,"Banking, Investment And Insurance",Landing Page Submission
3566,No,No,No,4,1123,4,Media and Advertising,Landing Page Submission
3567,No,No,No,6,1904,6,International Business,Landing Page Submission
3568,No,No,No,5,108,5,IT Projects Management,Landing Page Submission
3569,No,Yes,No,1,233,1,,Landing Page Submission
3570,Yes,No,No,4,1230,4,Human Resource Management,Landing Page Submission
3571,Yes,No,No,5,1047,5,Business Administration,Landing Page Submission
3572,No,No,No,0,0,0,,API
3573,No,No,No,0,0,0,,API
3574,No,No,No,8,61,8,Human Resource Management,Landing Page Submission
3575,No,No,No,4,115,4,,Landing Page Submission
3576,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
3577,Yes,No,No,2,630,2,E-COMMERCE,Landing Page Submission
3578,No,No,No,9,577,9,IT Projects Management,Landing Page Submission
3579,Yes,No,No,4,1227,4,Operations Management,Landing Page Submission
3580,No,No,No,4,140,4,Supply Chain Management,Landing Page Submission
3581,No,No,No,1,251,1,Business Administration,Landing Page Submission
3582,No,Yes,No,0,0,0,,API
3583,Yes,No,No,0,0,0,,Lead Add Form
3584,No,No,No,1,1852,1,,API
3585,No,No,No,2,230,1,,API
3586,No,No,No,0,0,0,,API
3587,No,No,No,3,164,3,Finance Management,Landing Page Submission
3588,No,No,No,3,47,3,"Banking, Investment And Insurance",Landing Page Submission
3589,No,No,No,3,110,1.5,,API
3590,Yes,No,No,14,1495,7,Travel and Tourism,Landing Page Submission
3591,Yes,No,No,5,1221,5,Hospitality Management,Landing Page Submission
3592,No,No,No,2,149,2,,API
3593,No,No,No,4,229,1.33,,API
3594,No,No,No,4,295,4,Media and Advertising,Landing Page Submission
3595,No,No,No,3,1570,1.5,,API
3596,No,No,No,0,0,0,,API
3597,No,No,No,0,0,0,,API
3598,No,No,No,0,0,0,,API
3599,Yes,No,No,0,0,0,,API
3600,No,No,No,3,80,1.5,,API
3601,No,No,No,6,85,1.2,Media and Advertising,Landing Page Submission
3602,No,Yes,No,0,0,0,,Lead Add Form
3603,Yes,No,No,6,1292,6,Hospitality Management,API
3604,No,No,No,3,536,3,,API
3605,No,No,No,0,0,0,,API
3606,No,No,No,2,179,2,Healthcare Management,Landing Page Submission
3607,No,No,No,0,0,0,,API
3608,Yes,No,No,8,19,4,,API
3609,Yes,No,No,5,1303,5,Travel and Tourism,Landing Page Submission
3610,Yes,No,No,14,634,2,Supply Chain Management,Landing Page Submission
3611,No,No,No,0,0,0,IT Projects Management,API
3612,No,No,No,6,181,1.5,Operations Management,Landing Page Submission
3613,No,No,No,6,259,2,E-Business,Landing Page Submission
3614,No,No,No,9,1400,3,Media and Advertising,Landing Page Submission
3615,Yes,No,No,6,288,3,IT Projects Management,Landing Page Submission
3616,Yes,No,No,,1131,,,Lead Add Form
3617,Yes,No,No,4,1023,1.33,Marketing Management,Landing Page Submission
3618,No,No,No,3,137,3,,API
3619,No,No,No,6,193,6,Human Resource Management,Landing Page Submission
3620,Yes,No,No,0,0,0,,API
3621,No,No,No,0,0,0,,API
3622,No,No,No,2,95,2,Healthcare Management,Landing Page Submission
3623,No,No,No,0,0,0,,API
3624,No,No,No,3,1373,3,"Banking, Investment And Insurance",Landing Page Submission
3625,No,No,No,1,136,1,,Landing Page Submission
3626,Yes,No,No,4,965,4,Finance Management,Landing Page Submission
3627,No,Yes,No,4,487,2,Business Administration,Landing Page Submission
3628,No,No,No,2,154,2,Operations Management,Landing Page Submission
3629,No,No,No,2,1697,2,Business Administration,Landing Page Submission
3630,No,No,No,2,510,2,Travel and Tourism,Landing Page Submission
3631,No,No,No,0,0,0,,API
3632,Yes,No,No,5,1149,5,Travel and Tourism,Landing Page Submission
3633,No,No,No,4,865,4,Healthcare Management,Landing Page Submission
3634,No,No,No,2,245,2,Marketing Management,Landing Page Submission
3635,No,Yes,No,2,743,2,Media and Advertising,Landing Page Submission
3636,Yes,No,No,3,1109,3,Human Resource Management,Landing Page Submission
3637,No,No,No,1,458,1,,API
3638,No,No,No,3,365,3,Finance Management,Landing Page Submission
3639,No,No,No,0,0,0,,API
3640,No,No,No,4,99,4,Human Resource Management,Landing Page Submission
3641,No,No,No,4,208,4,Marketing Management,Landing Page Submission
3642,Yes,No,No,5,1207,5,Media and Advertising,Landing Page Submission
3643,Yes,No,No,2,1475,2,Operations Management,Landing Page Submission
3644,Yes,No,No,2,1146,2,Marketing Management,Landing Page Submission
3645,No,No,No,6,14,3,Finance Management,Landing Page Submission
3646,Yes,No,No,4,882,4,Hospitality Management,Landing Page Submission
3647,No,No,No,4,237,2,Media and Advertising,Landing Page Submission
3648,No,No,No,2,286,2,Marketing Management,Landing Page Submission
3649,Yes,No,No,5,1179,5,Operations Management,Landing Page Submission
3650,No,No,No,3,333,3,Marketing Management,Landing Page Submission
3651,No,No,No,1,275,1,,API
